"","Team","Season","Date","Location","Opponent","Result","Points_Scored","Opp_points","Pass_Completions","Pass_Attempts","Passing_Pct","Pass_Yards","Pass_TD","Rush_Attempts","Rush_Yards","Rush_Avg","Rush_TD","Total_Plays","Total_Yards","Yards_per_play","Pass_first_downs","Rush_first_downs","Penalty_first_downs","Total_first_downs","Penalties","Penalty_yards","Fumbles","Interceptions","Turnovers"
"94","colgate",2023,2023-09-02,"Away","syracuse","L",0,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","norfolk-state",2023,2023-09-16,"Away","temple","L",9,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","austin-peay",2023,2023-09-09,"Away","tennessee","L",13,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","abilene-christian",2023,2023-11-18,"Away","texas-am","L",10,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","nicholls-state",2023,2023-09-09,"Away","texas-christian","L",6,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","jackson-state",2023,2023-09-16,"Away","texas-state","L",34,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","tarleton-state",2023,2023-09-16,"Away","texas-tech","L",3,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","texas-southern",2023,2023-09-09,"Away","toledo","L",3,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","stephen-f.-austin",2023,2023-09-02,"Away","troy","L",30,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","nicholls-state",2023,2023-09-23,"Away","tulane","L",7,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","arkansas-pine-bluff",2023,2023-08-31,"Away","tulsa","L",7,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","north-carolina-at",2023,2023-08-31,"Away","alabama-birmingham","L",6,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","villanova",2023,2023-09-16,"Away","central-florida","L",14,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","north-carolina-central",2023,2023-09-16,"Away","ucla","L",7,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","weber-state",2023,2023-09-16,"Away","utah","L",7,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","idaho-state",2023,2023-09-09,"Away","utah-state","L",28,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","incarnate-word",2023,2023-09-02,"Away","texas-el-paso","L",14,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","alabama-am",2023,2023-09-02,"Away","vanderbilt","L",13,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","william-mary",2023,2023-10-07,"Away","virginia","L",13,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","elon",2023,2023-08-31,"Away","wake-forest","L",17,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","northern-colorado",2023,2023-09-16,"Away","washington-state","L",21,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","duquesne",2023,2023-09-09,"Away","west-virginia","L",17,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","houston-christian",2023,2023-09-09,"Away","western-kentucky","L",22,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","st.-francis-pa",2023,2023-08-31,"Away","western-michigan","L",17,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","portland-state",2023,2023-09-09,"Away","wyoming","L",17,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
