Team,Season,Date,Location,Opponent,Result,Points_Scored,Opp_points,Pass_Completions,Pass_Attempts,Passing_Pct,Pass_Yards,Pass_TD,Rush_Attempts,Rush_Yards,Rush_Avg,Rush_TD,Total_Plays,Total_Yards,Yards_per_play,Pass_first_downs,Rush_first_downs,Penalty_first_downs,Total_first_downs,Penalties,Penalty_yards,Fumbles,Interceptions,Turnovers
stony-brook,2021,9/18/2021,Away,oregon,L,7,48,10,23,43.5,131,0,39,140,3.6,1,62,271,4.4,4,8,2,14,13,89,1,3,4
idaho,2021,9/18/2021,Away,oregon-state,L,0,42,13,25,52,84,0,35,108,3.1,0,60,192,3.2,4,8,2,14,8,70,0,2,2
villanova,2021,9/25/2021,Away,penn-state,L,17,38,20,34,58.8,222,2,26,58,2.2,0,60,280,4.7,10,4,1,15,4,50,0,1,1
new-hampshire,2021,9/25/2021,Away,pittsburgh,L,7,77,10,24,41.7,60,1,29,100,3.4,0,53,160,3,4,2,2,8,2,10,1,1,2
texas-southern,2021,9/25/2021,Away,rice,L,34,48,20,36,55.6,357,1,35,104,3,3,71,461,6.5,14,4,3,21,7,62,0,1,1
delaware,2021,9/18/2021,Away,rutgers,L,13,45,12,25,48,98,1,33,168,5.1,0,58,266,4.6,3,9,2,14,4,50,0,0,0
towson,2021,9/25/2021,Away,san-diego-state,L,21,48,19,36,52.8,213,3,20,15,0.8,0,56,228,4.1,8,2,2,12,8,57,1,1,2
southern-utah,2021,8/28/2021,Away,san-jose-state,L,14,45,17,31,54.8,139,1,31,111,3.6,0,62,250,4,8,5,4,17,6,45,0,0,0
abilene-christian,2021,9/4/2021,Away,southern-methodist,L,9,56,15,36,41.7,213,1,28,119,4.3,0,64,332,5.2,8,5,1,14,6,38,1,3,4
alcorn-state,2021,9/18/2021,Away,south-alabama,L,21,28,20,33,60.6,265,1,31,32,1,1,64,297,4.6,11,1,1,13,11,67,0,1,1
eastern-illinois,2021,9/4/2021,Away,south-carolina,L,0,46,13,22,59.1,78,0,22,31,1.4,0,44,109,2.5,5,3,1,9,5,41,0,2,2
florida-am,2021,9/18/2021,Away,south-florida,L,17,38,25,49,51,248,1,29,132,4.6,1,78,380,4.9,14,5,1,20,8,50,1,0,1
grambling-state,2021,9/11/2021,Away,southern-mississippi,L,0,37,16,32,50,90,0,27,51,1.9,0,59,141,2.4,5,4,0,9,6,44,0,1,1
albany,2021,9/18/2021,Away,syracuse,L,24,62,14,22,63.6,128,1,32,7,0.2,1,54,135,2.5,4,3,4,11,8,90,1,0,1
wagner,2021,9/25/2021,Away,temple,L,7,41,4,9,44.4,36,0,48,123,2.6,1,57,159,2.8,2,5,1,8,5,58,0,1,1
tennessee-tech,2021,9/18/2021,Away,tennessee,L,0,56,17,36,47.2,144,0,28,35,1.3,0,64,179,2.8,5,4,1,10,10,107,0,4,4
