"Team","First_Season","Last_Season","Number_Of_Seasons","Games_Played","Wins","Losses","Ties","Winning_Pct","Bowl_Games_Played","Bowl_Wins","Bowl_Losses","Bowl_Ties","Bowl_Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","Number_Of_Seasons_Ranked_In_AP_Final_Poll","Conference_Championships","Notes"
"virginia-military-institute",1904,"1981",70,684,306,344,34,0.472,0,0,0,0,0,-5.27,-4.03,1,7,""
"virginia-tech",1902,"2021",119,1246,727,474,44,0.602,34,13,21,0,0.382,3.22,-0.97,20,8,"record adjusted to 728-473-44 by NCAA"
"wabash",1904,"1905",2,17,8,9,0,0.471,0,0,0,0,0,4.55,1.77,0,0,""
"wake-forest",1908,"2021",115,1169,470,668,31,0.415,16,10,6,0,0.625,-2.45,0.81,5,2,""
"washburn",1905,"1940",7,68,29,38,1,0.434,0,0,0,0,0,-11.77,-8.8,0,0,""
"washington",1916,"2021",106,1111,644,435,32,0.594,38,18,19,1,0.487,7.99,4.29,25,19,"record adjusted to 647-432-32 by NCAA"
"washington-jefferson",1905,"1934",30,288,196,71,21,0.717,1,0,0,1,0.5,4.77,-2.83,0,0,""
"washington-lee",1907,"1953",44,390,191,174,25,0.522,1,0,1,0,0,-0.76,-1.91,1,2,""
"washington-mo",1902,"1942",40,331,147,165,19,0.473,0,0,0,0,0,-5.13,-4.22,0,3,""
"washington-state",1917,"2021",103,1066,487,536,38,0.477,16,7,9,0,0.438,2.47,3.27,12,4,"record adjusted to 489-534-38 by NCAA"
"wesleyan-ct",1882,"1905",24,217,92,118,7,0.44,0,0,0,0,0,0.49,3.84,0,0,""
"west-texas-am",1941,"1985",44,447,212,225,9,0.485,4,4,0,0,1,-8.65,-8.69,0,4,""
"west-virginia",1909,"2021",110,1188,679,456,41,0.595,39,16,23,0,0.41,3.96,0.44,20,15,""
"west-virginia-wesleyan",1913,"1916",4,33,16,16,1,0.5,0,0,0,0,0,-1.55,-1.37,0,0,""
"western-carolina",1977,"1981",5,55,25,28,2,0.473,0,0,0,0,0,-8,-8.33,0,0,""
"western-kentucky",2009,"2021",14,166,87,79,0,0.524,8,5,3,0,0.625,-3.98,-5.25,1,2,""
"western-michigan",1962,"2021",61,669,349,313,7,0.527,10,2,8,0,0.2,-6.28,-7.27,1,3,"record adjusted to 350-312-7 by NCAA"
"western-state",1924,"1937",14,95,19,76,0,0.2,0,0,0,0,0,-20.15,-8.96,0,0,""
"whitman",1923,"1924",2,12,2,10,0,0.167,0,0,0,0,0,-13.95,1.72,0,0,""
"wichita-state",1945,"1986",42,433,167,254,12,0.4,3,0,3,0,0,-10.37,-6.4,0,5,"record adjusted to 168-253-12 by NCAA"
"william-mary",1922,"1983",55,560,260,279,20,0.483,3,1,2,0,0.333,-4.63,-4.51,3,4,""
"williams",1886,"1906",21,211,107,90,14,0.54,0,0,0,0,0,1.28,0.17,0,0,""
"wisconsin",1892,"2021",131,1284,723,501,52,0.587,33,18,15,0,0.545,8.32,4.81,26,14,"record adjusted to 724-500-52 by NCAA"
"wofford",1914,"1936",15,128,36,88,4,0.297,0,0,0,0,0,-13.04,-5.23,0,0,""
"wpi",1888,"1893",2,11,3,7,1,0.318,0,0,0,0,0,-12.11,-1.48,0,0,""
"wyoming",1905,"2021",111,1129,524,575,26,0.477,17,9,8,0,0.529,-4.56,-3.23,4,14,"record adjusted to 525-574-26 by NCAA"
"xavier",1935,"1973",16,160,70,86,4,0.45,0,0,0,0,0,-11.6,-8.18,0,0,""
"yale",1872,"1981",108,973,718,203,52,0.765,0,0,0,0,0,7.88,-1.09,4,11,""
